query_assembly	subject_assembly	query_seqid	subject_seqid	pctid	ani
GCF_000012825.1	GCF_002796815.1	lcl|NC_009614.1_rrna_8	lcl|NZ_PHJG01000100.1_rrna_73	100.0	0.9912711554467856
GCF_000012825.1	GCF_002959625.1	lcl|NC_009614.1_rrna_8	lcl|NZ_PUEN01000007.1_rrna_53	100.0	0.9999304520501467
GCF_000012825.1	GCF_003436855.1	lcl|NC_009614.1_rrna_8	lcl|NZ_QSQV01000020.1_rrna_30	100.0	0.9950772280334832
GCF_000012825.1	GCF_003439275.1	lcl|NC_009614.1_rrna_8	lcl|NZ_QSVC01000019.1_rrna_30	100.0	0.9944252292052161
GCF_000012825.1	GCF_003439595.1	lcl|NC_009614.1_rrna_8	lcl|NZ_QSVY01000024.1_rrna_31	100.0	0.9938814121716439
GCF_000012825.1	GCF_003439605.1	lcl|NC_009614.1_rrna_8	lcl|NZ_QSWA01000025.1_rrna_33	100.0	0.9939026203568279
GCF_000012825.1	GCF_003459365.1	lcl|NC_009614.1_rrna_8	lcl|NZ_QRVR01000021.1_rrna_31	100.0	0.9935521047559437
GCF_000012825.1	GCF_003465305.1	lcl|NC_009614.1_rrna_8	lcl|NZ_QRZS01000002.1_rrna_29	100.0	0.9917750859147217
GCF_000012825.1	GCF_003467565.1	lcl|NC_009614.1_rrna_8	lcl|NZ_QSHD01000037.1_rrna_45	100.0	0.9948080099687011
GCF_000012825.1	GCF_003469035.1	lcl|NC_009614.1_rrna_8	lcl|NZ_QSJX01000050.1_rrna_51	100.0	0.9927696387816379
GCF_000012825.1	GCF_003470745.1	lcl|NC_009614.1_rrna_8	lcl|NZ_QRHD01000053.1_rrna_65	100.0	0.9942749621397294
GCF_000012825.1	GCF_003472125.1	lcl|NC_009614.1_rrna_8	lcl|NZ_QRKW01000005.1_rrna_64	100.0	0.9922630197708195
GCF_000012825.1	GCF_003474225.1	lcl|NC_009614.1_rrna_8	lcl|NZ_QROB01000027.1_rrna_43	100.0	0.9936965012779997
GCF_000012825.1	GCF_003475435.1	lcl|NC_009614.1_rrna_8	lcl|NZ_QRQI01000050.1_rrna_57	100.0	0.9938689584613832
GCF_000012825.1	GCF_005844725.1	lcl|NC_009614.1_rrna_8	lcl|NZ_SPHD01000074.1_rrna_58	100.0	0.9931078543901511
GCF_000012825.1	GCF_012976385.1	lcl|NC_009614.1_rrna_8	lcl|NZ_JABDSC010000089.1_rrna_18	100.0	0.9938236898375442
GCF_000012825.1	GCF_012976765.1	lcl|NC_009614.1_rrna_8	lcl|NZ_JABDSG010000119.1_rrna_28	100.0	0.9931705477612248
GCF_000012825.1	GCF_015547315.1	lcl|NC_009614.1_rrna_8	lcl|NZ_JADMUW010000113.1_rrna_4	100.0	0.9950651009796488
GCF_000012825.1	GCF_015551975.1	lcl|NC_009614.1_rrna_8	lcl|NZ_JADNDU010000074.1_rrna_73	100.0	0.9948633061456515
GCF_000012825.1	GCF_015555645.1	lcl|NC_009614.1_rrna_8	lcl|NZ_JADNKW010000099.1_rrna_76	100.0	0.9962239932161109
GCF_000012825.1	GCF_015556625.1	lcl|NC_009614.1_rrna_8	lcl|NZ_JADNMT010000074.1_rrna_58	100.0	0.9931078543901511
GCF_000012825.1	GCF_015557525.1	lcl|NC_009614.1_rrna_8	lcl|NZ_JADNOM010000063.1_rrna_64	100.0	0.9937855892344868
