query_assembly	subject_assembly	query_seqid	subject_seqid	pctid	ani
GCF_001688845.2	GCF_002201515.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_CP021421.1_rrna_43	100.0	0.9999525287941589
GCF_001688845.2	GCF_009856815.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_WVUM01000127.1_rrna_9	100.0	0.9828767464306117
GCF_001688845.2	GCF_016696845.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_CP065316.1_rrna_60	100.0	0.9999528286482505
GCF_001688845.2	GCF_002201515.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_CP021421.1_rrna_23	99.7	0.9999525287941589
GCF_001688845.2	GCF_003024855.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_PUBW01000105.1_rrna_3	99.7	0.999920551882504
GCF_001688845.2	GCF_004793655.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_SRYD01000003.1_rrna_34	99.7	0.9828320981563192
GCF_001688845.2	GCF_016696845.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_CP065316.1_rrna_40	99.7	0.9999528286482505
GCF_001688845.2	GCF_002201515.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_CP021421.1_rrna_34	99.7	0.9999525287941589
GCF_001688845.2	GCF_003024845.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_PUEE01000092.1_rrna_61	99.7	0.9999786777490681
GCF_001688845.2	GCF_016696845.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_CP065316.1_rrna_51	99.7	0.9999528286482505
GCF_001688845.2	GCF_004792675.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_SRVL01000003.1_rrna_26	99.4	0.9855498565636596
GCF_001688845.2	GCF_004570975.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_SPPC01000028.1_rrna_28	92.2	0.8670396804998122
GCF_001688845.2	GCF_004803695.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_CP039393.1_rrna_13	92.0	0.884858697904737
GCF_001688845.2	GCF_004803695.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_CP039393.1_rrna_61	92.0	0.884858697904737
GCF_001688845.2	GCF_004793735.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_SRYY01000027.1_rrna_14	92.0	0.8410180341947069
GCF_001688845.2	GCF_004803695.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_CP039393.1_rrna_39	91.9	0.884858697904737
GCF_001688845.2	GCF_004803695.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_CP039393.1_rrna_49	91.9	0.884858697904737
GCF_001688845.2	GCF_003024815.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_PUBV01000095.1_rrna_60	90.8	0.8817066666666666
GCF_001688845.2	GCF_003024925.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_PUED01000303.1_rrna_29	90.7	0.8797648564344558
GCF_001688845.2	GCF_004803935.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_CP039547.1_rrna_21	90.7	0.894661408963373
GCF_001688845.2	GCF_004803915.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_CP039396.1_rrna_31	90.6	0.9102326693771567
GCF_001688845.2	GCF_004803915.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_CP039396.1_rrna_13	90.5	0.9102326693771567
GCF_001688845.2	GCF_003024805.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_PUEC01000003.1_rrna_37	90.5	0.9008318680195949
GCF_001688845.2	GCF_004803935.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_CP039547.1_rrna_35	90.5	0.894661408963373
GCF_001688845.2	GCF_005304985.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_CP040121.1_rrna_39	90.5	0.8949384971560019
GCF_001688845.2	GCF_005304985.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_CP040121.1_rrna_53	90.5	0.8949384971560019
GCF_001688845.2	GCF_004803915.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_CP039396.1_rrna_26	90.5	0.9102326693771567
GCF_001688845.2	GCF_004803915.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_CP039396.1_rrna_53	90.5	0.9102326693771567
GCF_001688845.2	GCF_004803935.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_CP039547.1_rrna_15	90.5	0.894661408963373
GCF_001688845.2	GCF_004803935.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_CP039547.1_rrna_65	90.5	0.894661408963373
GCF_001688845.2	GCF_005304985.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_CP040121.1_rrna_11	90.5	0.8949384971560019
GCF_001688845.2	GCF_005304985.1	lcl|NZ_CP015402.2_rrna_41	lcl|NZ_CP040121.1_rrna_33	90.5	0.8949384971560019
